price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
450000.0,212.0,Acworth,1969,2122.0,2.0,3.0,2122.0,0,0.0,0,One,0,1,0,SINGLE_FAMILY,Cherokee County
323000.0,137.0,Acworth,1982,2364.0,2.0,3.0,0.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
259900.0,139.0,Acworth,2014,0.04292929292929293,3.0,4.0,1870.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
350000.0,131.0,Acworth,2001,2666.0,3.0,3.0,2666.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Bartow County
365000.0,168.0,Acworth,2016,0.049908172635445364,3.0,4.0,2174.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
300000.0,189.0,Acworth,2007,0.03636363636363636,4.0,4.0,1584.0,1,0.0,1,Two,0,0,0,TOWNHOUSE,Cherokee County
290000.0,179.0,Acworth,1973,1616.0,2.0,3.0,1616.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
299800.0,127.0,Acworth,1985,2366.0,3.0,4.0,2366.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cobb County
689900.0,149.0,Acworth,2007,4624.0,6.0,5.0,4624.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
329900.0,145.0,Adairsville,2019,2280.0,3.0,4.0,2280.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
324900.0,203.0,Adairsville,2021,1600.0,2.0,3.0,1600.0,1,2.0,1,One,0,0,1,SINGLE_FAMILY,Bartow County
290000.0,138.0,Adairsville,2006,2099.0,3.0,3.0,2099.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
395000.0,209.0,Adairsville,2004,1891.0,3.0,4.0,1891.0,1,3.0,1,One,0,0,0,SINGLE_FAMILY,Bartow County
425000.0,184.0,Adairsville,2016,2316.0,2.0,3.0,2316.0,1,1.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
179900.0,141.0,Adairsville,2002,1280.0,2.0,3.0,1280.0,0,0.0,0,One,0,0,0,SINGLE_FAMILY,Bartow County
946000.0,337.0,Adairsville,1984,2808.0,2.0,3.0,2808.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Gordon County
175000.0,120.0,Adel,2012,1454.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
380000.0,147.0,Adel,2011,2581.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
290000.0,142.0,Adel,2009,2042.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
575000.0,151.0,Adel,1996,3815.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
425000.0,148.0,Adel,2001,2866.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
209900.0,96.0,Albany,1973,2188.0,3.0,4.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
310000.0,99.0,Albany,1976,3146.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
199900.0,98.0,Albany,1991,0.04696969696969697,3.0,3.0,0.0,0,0.0,0,0,0,0,0,MULTI_FAMILY,Dougherty County
189900.0,103.0,Albany,2003,0.04219467401285583,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
225000.0,105.0,Albany,1973,2136.0,3.0,3.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
209900.0,103.0,Albany,1984,2029.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
227000.0,112.0,Albany,2003,2034.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
425000.0,105.0,Albany,1994,4061.0,5.0,5.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
209900.0,126.0,Albany,2021,0.03838383838383838,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
189900.0,106.0,Albany,1993,1789.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
183500.0,107.0,Albany,1985,1721.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
112900.0,96.0,Albany,1996,0.02699724517906336,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
174900.0,105.0,Albany,1964,1667.0,2.0,3.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
382500.0,106.0,Albany,1988,3598.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
194500.0,103.0,Albany,1900,1895.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
472500.0,115.0,Albany,1998,4109.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
112500.0,101.0,Albany,2004,0.025482093663911846,2.0,2.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
275000.0,96.0,Albany,1975,2874.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
194500.0,96.0,Albany,1970,2026.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
179900.0,106.0,Albany,1963,1692.0,2.0,2.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
419900.0,116.0,Albany,2006,3617.0,5.0,5.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Lee County
219900.0,93.0,Albany,1971,2355.0,2.0,3.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
189900.0,93.0,Albany,2019,2048.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Mitchell County
130000.0,96.0,Albany,1958,1360.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
112500.0,101.0,Albany,2004,0.025482093663911846,2.0,2.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
209900.0,96.0,Albany,1973,2188.0,3.0,4.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
310000.0,99.0,Albany,1976,3146.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
209900.0,103.0,Albany,1984,2029.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
227000.0,112.0,Albany,2003,2034.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
194500.0,103.0,Albany,1900,1895.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
194500.0,96.0,Albany,1970,2026.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
214900.0,152.0,Allenhurst,2021,1415.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
217900.0,154.0,Allenhurst,2021,1415.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
289900.0,153.0,Allenhurst,2021,1894.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
699999.0,138.0,Alma,0,5057.0,3.0,5.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Bacon County
850000.0,240.0,Alpharetta,2017,0.08124426078971533,5.0,3.0,3539.0,1,2.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
485000.0,301.0,Alpharetta,1981,1609.0,2.0,3.0,1609.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Fulton County
735990.0,236.0,Alpharetta,2021,0.07174012855831037,4.0,3.0,0.0,1,0.0,0,0,0,0,1,TOWNHOUSE,Fulton County
799000.0,300.0,Alpharetta,1970,2660.0,2.0,3.0,2660.0,1,2.0,1,Two,1,0,0,SINGLE_FAMILY,Fulton County
550000.0,176.0,Alpharetta,1999,3126.0,4.0,4.0,3126.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
273000.0,198.0,Alpharetta,2002,0.031634527089072544,3.0,2.0,1378.0,1,2.0,1,Three Or More,1,0,0,CONDO,Fulton County
450000.0,169.0,Alpharetta,1990,2659.0,3.0,3.0,2659.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
